pokemonId,latitude,longitude,city,continent,number,pokemon_name,pic_url,main_type,secondary_type,region,category,height,weight,pokemon_family,attack,defense,stamina,cp_range,hp_range,capture_rate,flee_rate,male_perc,female_perc,resistance,weakness,wild_avail,egg_avail,raid_avail,research_avail,shiny,shadow,pkedex_desc,poss_attacks
19,38.744352,-77.085091,New_York,America,19,Rattata,https://static.wikia.nocookie.net/pokemongo/images/c/c4/Rattata.png,Normal,,Kanto,Mouse,0.3 m,3.5 kg,Rattata family,103,70,102,10-734,10-92,50%,20%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes ,No,No  ,Formerly ,Yes,Yes,"Standard Pokédex description
Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.","['Quick Attack', 'Tackle', 'Body Slam', 'Dig', 'Hyper Fang', 'Quick Attack', 'Tackle', 'Crunch', 'Hyper Fang', 'Shadow Ball']"
19,33.418953,-111.93944,Phoenix,America,19,Rattata,https://static.wikia.nocookie.net/pokemongo/images/c/c4/Rattata.png,Normal,,Kanto,Mouse,0.3 m,3.5 kg,Rattata family,103,70,102,10-734,10-92,50%,20%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes ,No,No  ,Formerly ,Yes,Yes,"Standard Pokédex description
Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.","['Quick Attack', 'Tackle', 'Body Slam', 'Dig', 'Hyper Fang', 'Quick Attack', 'Tackle', 'Crunch', 'Hyper Fang', 'Shadow Ball']"
48,42.868232,-73.933181,New_York,America,48,Venonat,https://static.wikia.nocookie.net/pokemongo/images/d/d3/Venonat.png,Bug,Poison,Kanto,Insect,1 m,30 kg,Venonat family,100,100,155,"11-1,004",14-134,50%,15%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.","['Bug Bite', 'Confusion', 'Poison Fang', 'Psybeam', 'Signal Beam']"
69,40.725176,-73.99168,New_York,America,69,Bellsprout,https://static.wikia.nocookie.net/pokemongo/images/d/d1/Bellsprout.png,Grass,Poison,Kanto,Flower,0.7 m,4 kg,Bellsprout family,139,61,137,"11-1,033",12-120,50%,15%,50%,50%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.","['Acid', 'Vine Whip', 'Power Whip', 'Sludge Bomb', 'Wrap']"
96,55.261044,11.305006,Copenhagen,Europe,96,Drowzee,https://static.wikia.nocookie.net/pokemongo/images/5/5d/Drowzee.png,Psychic,,Kanto,Hypnosis,1 m,32.4 kg,Drowzee family,89,136,155,"11-1,040",14-134,50%,10%,50%,50%,"{'62.5%': ['Fighting', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Ghost']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"If your nose becomes itchy while you are sleeping, it's a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.","['Confusion', 'Pound', 'Psybeam', 'Psychic', 'Psyshock']"
19,42.002957,2.289473,Chicago,America,19,Rattata,https://static.wikia.nocookie.net/pokemongo/images/c/c4/Rattata.png,Normal,,Kanto,Mouse,0.3 m,3.5 kg,Rattata family,103,70,102,10-734,10-92,50%,20%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes ,No,No  ,Formerly ,Yes,Yes,"Standard Pokédex description
Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.","['Quick Attack', 'Tackle', 'Body Slam', 'Dig', 'Hyper Fang', 'Quick Attack', 'Tackle', 'Crunch', 'Hyper Fang', 'Shadow Ball']"
19,3.1274,101.617688,Kuala_Lumpur,Asia,19,Rattata,https://static.wikia.nocookie.net/pokemongo/images/c/c4/Rattata.png,Normal,,Kanto,Mouse,0.3 m,3.5 kg,Rattata family,103,70,102,10-734,10-92,50%,20%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes ,No,No  ,Formerly ,Yes,Yes,"Standard Pokédex description
Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.","['Quick Attack', 'Tackle', 'Body Slam', 'Dig', 'Hyper Fang', 'Quick Attack', 'Tackle', 'Crunch', 'Hyper Fang', 'Shadow Ball']"
16,33.362799,-111.735242,New_York,America,16,Pidgey,https://static.wikia.nocookie.net/pokemongo/images/b/b7/Pidgey.png,Normal,Flying,Kanto,Tiny,0.3 m,1.8 kg,Pidgey family,85,73,120,10-680,11-106,50%,20%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes ,No,No  ,Formerly ,Yes,No,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","['Quick Attack', 'Tackle', 'Aerial Ace', 'Air Cutter', 'Twister']"
46,37.359399,-120.604483,Los_Angeles,America,46,Paras,https://static.wikia.nocookie.net/pokemongo/images/e/ee/Paras.png,Bug,Grass,Kanto,Mushroom,0.3 m,5.4 kg,Paras family,121,99,111,"11-1,018",10-99,40%,15%,50%,50%,"{'62.5%': ['Electric', 'Fighting', 'Water'], '39%': ['Grass', 'Ground']}","{'160%': ['Bug', 'Ice', 'Poison', 'Rock'], '256%': ['Fire', 'Flying']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,No,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,"['Bug Bite', 'Scratch', 'Cross Poison', 'Seed Bomb', 'X-Scissor']"
16,50.054393,14.50401,Prague,Europe,16,Pidgey,https://static.wikia.nocookie.net/pokemongo/images/b/b7/Pidgey.png,Normal,Flying,Kanto,Tiny,0.3 m,1.8 kg,Pidgey family,85,73,120,10-680,11-106,50%,20%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes ,No,No  ,Formerly ,Yes,No,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","['Quick Attack', 'Tackle', 'Aerial Ace', 'Air Cutter', 'Twister']"
98,30.042883,-90.237183,Chicago,America,98,Krabby,https://static.wikia.nocookie.net/pokemongo/images/d/da/Krabby.png,Water,,Kanto,River,0.4 m,6.5 kg,Krabby family,181,124,102,"17-1,561",10-92,50%,15%,50%,50%,"{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,No,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.","['Bubble', 'Mud Shot', 'Bubble Beam', 'Vise Grip', 'Water Pulse']"
52,53.793253,-1.850277,London,Europe,52,Meowth,https://static.wikia.nocookie.net/pokemongo/images/9/99/Meowth.png,Normal,,Kanto,Scratch,0.4 m,4.2 kg,Meowth family,92,78,120,10-748,11-106,50%,15%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"Standard Pokédex description
Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.","['Bite', 'Scratch', 'Dark Pulse', 'Foul Play', 'Night Slash', 'Body Slam', 'Bite', 'Scratch', 'Dark Pulse', 'Foul Play', 'Night Slash', 'Metal Claw', 'Scratch', 'Dig', 'Gyro Ball', 'Night Slash']"
75,26.250448,-98.215531,Chicago,America,75,Graveler,https://static.wikia.nocookie.net/pokemongo/images/b/b6/Graveler.png,Rock,Ground,Kanto,Rock,1 m,105 kg,Geodude family,164,164,146,"22-1,897",13-127,25%,7%,50%,50%,"{'62.5%': ['Fire', 'Flying', 'Normal', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Fighting', 'Ground', 'Ice', 'Steel'], '256%': ['Grass', 'Water']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,No,"Standard Pokédex description
Graveler grows by feeding on rocks. Apparently, it prefers to eat rocks that are covered in moss. This Pokémon eats its way through a ton of rocks on a daily basis.","['Mud-Slap', 'Rock Throw', 'Mud Shot', 'Dig', 'Rock Blast', 'Stone Edge', 'Rock Slide', 'Rock Throw', 'Volt Switch', 'Rock Blast', 'Stone Edge', 'Thunderbolt']"
69,44.421135,11.914517,Rome,Europe,69,Bellsprout,https://static.wikia.nocookie.net/pokemongo/images/d/d1/Bellsprout.png,Grass,Poison,Kanto,Flower,0.7 m,4 kg,Bellsprout family,139,61,137,"11-1,033",12-120,50%,15%,50%,50%,"{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.","['Acid', 'Vine Whip', 'Power Whip', 'Sludge Bomb', 'Wrap']"
20,39.651608,-77.70662,New_York,America,20,Raticate,https://static.wikia.nocookie.net/pokemongo/images/d/d6/Raticate.png,Normal,,Kanto,Mouse,0.7 m,18.5 kg,Rattata family,161,139,146,"20-1,730",13-127,20%,7%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes ,No,Formerly  (3rd tier level),No,Yes,Yes,"Standard Pokédex description
Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.","['Bite', 'Quick Attack', 'Dig', 'Hyper Beam', 'Hyper Fang', 'Bite', 'Quick Attack', 'Crunch', 'Hyper Beam', 'Hyper Fang']"
16,34.051288,-84.26142,New_York,America,16,Pidgey,https://static.wikia.nocookie.net/pokemongo/images/b/b7/Pidgey.png,Normal,Flying,Kanto,Tiny,0.3 m,1.8 kg,Pidgey family,85,73,120,10-680,11-106,50%,20%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes ,No,No  ,Formerly ,Yes,No,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","['Quick Attack', 'Tackle', 'Aerial Ace', 'Air Cutter', 'Twister']"
79,68.230823,14.562338,Oslo,Europe,79,Slowpoke,https://static.wikia.nocookie.net/pokemongo/images/9/9b/Slowpoke.png,Water,Psychic,Kanto,Dopey,1.2 m,36 kg,Slowpoke family,109,98,207,"13-1,226",19-175,50%,10%,50%,50%,"{'62.5%': ['Fighting', 'Fire', 'Ice', 'Psychic', 'Steel', 'Water']}","{'160%': ['Bug', 'Dark', 'Electric', 'Ghost', 'Grass']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"Standard Pokédex description
Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it's doing and often spends entire days just loafing at water's edge.","['Confusion', 'Water Gun', 'Psychic', 'Psyshock', 'Water Pulse', 'Confusion', 'Iron Tail', 'Psychic', 'Psyshock', 'Surf']"
16,43.495799,-1.469264,Paris,Europe,16,Pidgey,https://static.wikia.nocookie.net/pokemongo/images/b/b7/Pidgey.png,Normal,Flying,Kanto,Tiny,0.3 m,1.8 kg,Pidgey family,85,73,120,10-680,11-106,50%,20%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes ,No,No  ,Formerly ,Yes,No,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","['Quick Attack', 'Tackle', 'Aerial Ace', 'Air Cutter', 'Twister']"
133,20.527176,-97.429643,Mexico_City,America,133,Eevee,https://static.wikia.nocookie.net/pokemongo/images/f/f2/Eevee.png,Normal,,Kanto,Evolution,0.3 m,6.5 kg,Eevee family,104,114,146,"11-1,071",13-127,40%,10%,87.5%,12.5%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes ,No,Formerly  (1st tier level),Yes ,Yes,No,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokémon to evolve.,"['Quick Attack', 'Tackle', 'Dig', 'Swift', 'Body Slam', 'Last Resort']"
46,55.999769,13.291054,Stockholm,Europe,46,Paras,https://static.wikia.nocookie.net/pokemongo/images/e/ee/Paras.png,Bug,Grass,Kanto,Mushroom,0.3 m,5.4 kg,Paras family,121,99,111,"11-1,018",10-99,40%,15%,50%,50%,"{'62.5%': ['Electric', 'Fighting', 'Water'], '39%': ['Grass', 'Ground']}","{'160%': ['Bug', 'Ice', 'Poison', 'Rock'], '256%': ['Fire', 'Flying']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,No,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,"['Bug Bite', 'Scratch', 'Cross Poison', 'Seed Bomb', 'X-Scissor']"
96,42.647529,-71.314472,New_York,America,96,Drowzee,https://static.wikia.nocookie.net/pokemongo/images/5/5d/Drowzee.png,Psychic,,Kanto,Hypnosis,1 m,32.4 kg,Drowzee family,89,136,155,"11-1,040",14-134,50%,10%,50%,50%,"{'62.5%': ['Fighting', 'Psychic']}","{'160%': ['Bug', 'Dark', 'Ghost']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"If your nose becomes itchy while you are sleeping, it's a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.","['Confusion', 'Pound', 'Psybeam', 'Psychic', 'Psyshock']"
13,51.41934,0.811429,London,Europe,13,Weedle,https://static.wikia.nocookie.net/pokemongo/images/d/d6/Weedle.png,Bug,Poison,Kanto,Hairy,0.3 m,3.2 kg,Weedle family,63,50,120,10-456,11-106,50%,20%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,"['Bug Bite', 'Poison Sting', 'Struggle']"
16,32.921674,130.576789,Tokyo,Asia,16,Pidgey,https://static.wikia.nocookie.net/pokemongo/images/b/b7/Pidgey.png,Normal,Flying,Kanto,Tiny,0.3 m,1.8 kg,Pidgey family,85,73,120,10-680,11-106,50%,20%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes ,No,No  ,Formerly ,Yes,No,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","['Quick Attack', 'Tackle', 'Aerial Ace', 'Air Cutter', 'Twister']"
13,13.805501,100.55207,Bangkok,Asia,13,Weedle,https://static.wikia.nocookie.net/pokemongo/images/d/d6/Weedle.png,Bug,Poison,Kanto,Hairy,0.3 m,3.2 kg,Weedle family,63,50,120,10-456,11-106,50%,20%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,"['Bug Bite', 'Poison Sting', 'Struggle']"
17,38.025525,-77.515855,New_York,America,17,Pidgeotto,https://static.wikia.nocookie.net/pokemongo/images/5/57/Pidgeotto.png,Normal,Flying,Kanto,Bird,1.1 m,30 kg,Pidgey family,117,105,160,"13-1,194",15-138,25%,9%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes ,No,No  ,Formerly ,Yes,No,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.","['Steel Wing', 'Wing Attack', 'Aerial Ace', 'Air Cutter', 'Twister']"
25,46.171331,14.571168,Ljubljana,Europe,25,Pikachu,https://static.wikia.nocookie.net/pokemongo/images/7/77/Pikachu.png,Electric,,Kanto,Mouse,0.4 m,6 kg,Pikachu family,112,96,111,10-938,10-99,20%,10%,50%,50%,"{'62.5%': ['Electric', 'Flying', 'Steel']}",{'160%': ['Ground']},Yes (Very-rare; common during certain game events),No,Formerly  (1st tier level),Yes ,Yes,No,"Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it's evidence that this Pokémon mistook the intensity of its charge.","['Quick Attack', 'Thunder Shock', 'Present', 'Discharge', 'Thunderbolt', 'Wild Charge', 'Surf', 'Thunder', 'Quick Attack', 'Thunder Shock', 'Discharge', 'Fly', 'Thunderbolt', 'Wild Charge', 'Charm', 'Thunder Shock', 'Flying Press', 'Play Rough', 'Thunder Punch', 'Charm', 'Thunder Shock', 'Draining Kiss', 'Play Rough', 'Thunder Punch', 'Charm', 'Thunder Shock', 'Meteor Mash', 'Play Rough', 'Thunder Punch']"
13,41.977283,-87.864528,Chicago,America,13,Weedle,https://static.wikia.nocookie.net/pokemongo/images/d/d6/Weedle.png,Bug,Poison,Kanto,Hairy,0.3 m,3.2 kg,Weedle family,63,50,120,10-456,11-106,50%,20%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,"['Bug Bite', 'Poison Sting', 'Struggle']"
16,45.569908,9.6424,Rome,Europe,16,Pidgey,https://static.wikia.nocookie.net/pokemongo/images/b/b7/Pidgey.png,Normal,Flying,Kanto,Tiny,0.3 m,1.8 kg,Pidgey family,85,73,120,10-680,11-106,50%,20%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes ,No,No  ,Formerly ,Yes,No,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","['Quick Attack', 'Tackle', 'Aerial Ace', 'Air Cutter', 'Twister']"
13,49.262107,14.715211,Prague,Europe,13,Weedle,https://static.wikia.nocookie.net/pokemongo/images/d/d6/Weedle.png,Bug,Poison,Kanto,Hairy,0.3 m,3.2 kg,Weedle family,63,50,120,10-456,11-106,50%,20%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,"['Bug Bite', 'Poison Sting', 'Struggle']"
74,37.210742,-93.293617,Chicago,America,74,Geodude,https://static.wikia.nocookie.net/pokemongo/images/1/12/Geodude.png,Rock,Ground,Kanto,Rock,0.4 m,20 kg,Geodude family,132,132,120,"14-1,293",11-106,50%,10%,50%,50%,"{'62.5%': ['Fire', 'Flying', 'Normal', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Fighting', 'Ground', 'Ice', 'Steel'], '256%': ['Grass', 'Water']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,No,"Standard Pokédex description
The longer a Geodude lives, the more its edges are chipped and worn away, making it more rounded in appearance. However, this Pokémon's heart will remain hard, craggy, and rough always.","['Rock Throw', 'Tackle', 'Dig', 'Rock Slide', 'Rock Tomb', 'Rock Throw', 'Volt Switch', 'Rock Slide', 'Rock Tomb', 'Thunderbolt']"
